,time,open,high,low,close,volume,end_time,quote_volume,nbs_trades,buy_base_volume,buy_quote_volume,date
124,1674581100000,22911.44000000,22925.67000000,22885.00000000,22900.78000000,853.92345000,1674581399999,19557493.00865140,23946,431.91323000,9892302.84449990,2023-01-24 17:25:00
125,1674581400000,22900.32000000,22907.21000000,22868.68000000,22890.96000000,1019.31412000,1674581699999,23330954.49301880,25697,489.00954000,11193039.24465040,2023-01-24 17:30:00
126,1674581700000,22890.96000000,22922.29000000,22876.00000000,22912.09000000,787.00381000,1674581999999,18022566.97550590,22544,391.18988000,8958478.85741600,2023-01-24 17:35:00
127,1674582000000,22912.95000000,22922.81000000,22894.24000000,22897.71000000,843.69561000,1674582299999,19327085.38577390,21535,397.70561000,9110971.71307140,2023-01-24 17:40:00
128,1674582300000,22898.14000000,22918.82000000,22889.06000000,22894.64000000,715.42535000,1674582599999,16384745.58352970,21171,334.80985000,7667965.12221800,2023-01-24 17:45:00
129,1674582600000,22894.64000000,22913.57000000,22887.92000000,22909.99000000,613.07402000,1674582899999,14039303.97977800,19481,316.25368000,7242147.21302570,2023-01-24 17:50:00
130,1674582900000,22909.99000000,22922.72000000,22895.08000000,22913.49000000,853.15241000,1674583199999,19543264.84572100,20864,443.39574000,10157391.74982700,2023-01-24 17:55:00
131,1674583200000,22913.49000000,22933.00000000,22879.34000000,22884.93000000,1001.53125000,1674583499999,22949021.58657960,24614,492.84604000,11294242.66101690,2023-01-24 18:00:00
132,1674583500000,22886.44000000,22919.43000000,22877.19000000,22913.68000000,760.07614000,1674583799999,17403819.01017500,22647,399.00106000,9136462.61598870,2023-01-24 18:05:00
133,1674583800000,22913.69000000,23002.64000000,22912.28000000,22995.35000000,1928.62674000,1674584099999,44295444.47101220,43691,1113.78294000,25582269.51010640,2023-01-24 18:10:00
134,1674584100000,22995.36000000,23050.00000000,22976.70000000,23003.12000000,1592.64970000,1674584399999,36645096.11604310,38732,919.64990000,21161191.52723660,2023-01-24 18:15:00
135,1674584400000,23002.08000000,23018.99000000,22944.79000000,23018.15000000,950.05160000,1674584699999,21842991.50389550,27529,459.24249000,10559023.04019230,2023-01-24 18:20:00
136,1674584700000,23017.04000000,23018.15000000,22979.89000000,22994.84000000,966.40929000,1674584999999,22228827.49959280,23096,434.93808000,10004192.39402530,2023-01-24 18:25:00
137,1674585000000,22994.90000000,23019.58000000,22978.97000000,23007.14000000,1253.11761000,1674585299999,28819963.28258500,26227,489.17898000,11250016.33052180,2023-01-24 18:30:00
138,1674585300000,23006.32000000,23013.21000000,22992.56000000,23012.62000000,641.85691000,1674585599999,14764384.54652870,19207,312.71905000,7193505.46840320,2023-01-24 18:35:00
139,1674585600000,23011.89000000,23042.52000000,22995.90000000,23012.28000000,995.32410000,1674585899999,22912830.75527400,25823,517.10153000,11904108.62253100,2023-01-24 18:40:00
140,1674585900000,23012.28000000,23033.35000000,23007.12000000,23017.92000000,734.11258000,1674586199999,16899946.75279630,19552,362.96698000,8355926.61703540,2023-01-24 18:45:00
141,1674586200000,23018.16000000,23019.65000000,22980.02000000,23000.54000000,919.24607000,1674586499999,21144658.40393220,23546,403.40580000,9279233.51672390,2023-01-24 18:50:00
142,1674586500000,22999.42000000,23020.00000000,22989.02000000,22999.85000000,875.86299000,1674586799999,20148757.63856070,24063,439.37932000,10108010.55884550,2023-01-24 18:55:00
143,1674586800000,23000.00000000,23003.04000000,22961.85000000,22971.31000000,1216.88698000,1674587099999,27964588.53739340,27990,545.48481000,12535526.21955740,2023-01-24 19:00:00
144,1674587100000,22972.55000000,22987.81000000,22962.55000000,22975.67000000,628.87873000,1674587399999,14448948.79270880,18490,305.96318000,7029832.38603300,2023-01-24 19:05:00
145,1674587400000,22975.67000000,22999.00000000,22971.04000000,22988.75000000,566.32258000,1674587699999,13016619.37853210,18032,272.73087000,6268713.05207440,2023-01-24 19:10:00
146,1674587700000,22988.75000000,23010.00000000,22980.14000000,22991.06000000,641.46097000,1674587999999,14753448.75079850,18369,333.06405000,7660590.44619160,2023-01-24 19:15:00
147,1674588000000,22991.88000000,23010.09000000,22989.34000000,22996.72000000,544.67153000,1674588299999,12527692.81656290,17308,275.21857000,6330230.75442280,2023-01-24 19:20:00
148,1674588300000,22996.01000000,23015.94000000,22991.76000000,22997.44000000,598.99747000,1674588599999,13779123.88120600,17525,309.94631000,7130031.48542540,2023-01-24 19:25:00
149,1674588600000,22997.44000000,23014.31000000,22993.81000000,22999.22000000,558.20493000,1674588899999,12840550.50084660,16144,297.51355000,6843934.86675580,2023-01-24 19:30:00
150,1674588900000,23000.31000000,23009.59000000,22993.27000000,23001.59000000,466.01216000,1674589199999,10718785.07033000,14872,232.61154000,5350326.20824440,2023-01-24 19:35:00
151,1674589200000,23001.59000000,23079.00000000,22987.00000000,23029.87000000,1344.21774000,1674589499999,30961426.46364880,30355,754.66965000,17383102.83597260,2023-01-24 19:40:00
152,1674589500000,23029.88000000,23064.98000000,23017.77000000,23017.77000000,979.45412000,1674589799999,22567666.86075400,24755,495.21603000,11410497.43587920,2023-01-24 19:45:00
153,1674589800000,23018.95000000,23027.97000000,22990.30000000,23019.14000000,969.55462000,1674590099999,22306324.31197180,24113,469.91267000,10811032.49226960,2023-01-24 19:50:00
154,1674590100000,23019.14000000,23032.31000000,23005.55000000,23018.53000000,642.22586000,1674590399999,14783313.84781920,18834,308.13485000,7093036.81576950,2023-01-24 19:55:00
155,1674590400000,23017.73000000,23040.27000000,23008.07000000,23016.24000000,721.90955000,1674590699999,16623026.15892760,21267,336.15286000,7740757.43319960,2023-01-24 20:00:00
156,1674590700000,23017.16000000,23019.71000000,22983.75000000,22984.09000000,777.48057000,1674590999999,17885323.00759910,19068,359.50793000,8270904.80205110,2023-01-24 20:05:00
157,1674591000000,22985.18000000,22994.99000000,22959.00000000,22975.78000000,1212.66000000,1674591299999,27859291.78731040,26762,664.15393000,15258626.62145080,2023-01-24 20:10:00
158,1674591300000,22974.54000000,22976.00000000,22927.80000000,22956.60000000,1136.25278000,1674591599999,26082265.79677780,28498,536.93243000,12325505.03190550,2023-01-24 20:15:00
